gq   寺
gqb  幫
gr   吉
grc  頡
grf  熹
grg  臺
gt   喜
gru  圯
grv  袁
gs   城
gsk  敖
gsq  墀
gsv  堰
gtc  賁
gte  鼓
gth  彭
gji  執
gtm  坩
gtr  塔
gtv  堪
gu   起
gum  翹
gv   越
gw   賣
gwg  埋
gwt  塭
gx   Ｇ
gxx  ｇ
gy   均
gyb  堉
gyp  墟
gyk  墩
gym  壇
gyn  坑
gyo  壕
gyoz 垓
gtp  懿
gyr  培
gys  坊
gyt  垃
gyu  境
gyv  壞
gyvz 壤
gz   走
gzb  趙
gze  趣
gzf  趟
gzh  趁
gzj  趕
gzl  赳
gzp  趨
gzr  超
gzy  赴
gzz  址
h    ，
ha   白
haa  簡
hab  帛
had  梟
hae  泉
haez 馥
haf  鳥
hag  皇
hah  颺
haj  稈
hal  節
hap  皂
hau  島
hauz 笆
hav  裊
haw  籣
hb   向
hbb  稱
hbc  興
hbcz 颶
hbd  箏
hbe  籐
hbf  鱟
hbfz 爨
hbh  釁
hbk  奧
hbm  租
hbmz 翩
hbn  制
hbp  穩
hbr  筒
hbrz 稠
hbs  筋
hbt  血
hbu  稻
hbv  魍
hbi  舟
hc   與
hcc  頹
hykz 皎
hcn  劉
hcnz 銜
hco  歟
hcq  舉
hcr  船
hcu  稅
hd   禾
hda  香
hdb  策
hdw  箱
hdc  籟
hdd  季
hde  彼
hdez 黍
hdg  稚
hdi  私
hdj  秣
hdk  鴃
hdl  秉
hdm  笨
hdn  衛
hdnz 剁
hdo  徠
hdoz 簌
hdp  乘
hdpz 悉
hds  秀
hdu  禿
hdv  委
he   反
hea  箔
hed  槃
hen  衍
hep  慇
heq  簿
her  黏
herz 磐
het  盤
hf   秋
hfb  稍
hfd  乎
hfdz 釆
hff  毯
hfh  秒
hfp  愁
hfr  躺
hfrz 徜
hfs  勳
hfw  番
hgzz 壬
hgc  顧
hge  稜
hgn  街
hgi  丟
hgl  郵
hgm  筠
hgq  等
hgd  待
hgr  告
hgs  動
hgw  穡
hgy  靠
hgz  徒
hhz  竹
hha  舶
hhb  篇
hhbz 篩
hhc  須
hhd  躲
hhe  般
hhez 役
hhez 皈
hhez 舨
hhg  種
hhgz 凰
hhgz 徨
hhgz 篁
hhh  穆
hhi  魄
hhj  卑
hhjz 箄
hhk  笑
hil  卿
hhl  卯
hhmz 笙
hhmz 箠
hhn  衝
hhnz 躬
hho  秩
hhp  篦
hhq  射
hhr  皓
hhrz 颳
hhs  笮
hhu  循
hhw  留
hi   風
hia  稽
hic  簾
hie  毬
hif  鵝
hii  箋
hom  籤
hin  術
hio  瓜
hir  颱
hirz 箴
hirz 笞
hiu  嵇
hiz  么
hj   千
hja  箸
hjc  輿
hjd  魅
hje  段
hg   重
hjm  翱
hjo  稼
hjp  德
hlp  乖
hji  穗
hjpz 舵
hjpz 鴕
hjl  管
hjr  舌
hju  範
hjuz 皖
hjw  盾
hkb  喬
hkbz 稀
hkf  忝
hkj  皋
hkp  懲
hkq  肇
hkr  吞
hkz  夭
hl   所
hlb  帥
hlc  質
hlcz 簣
hle  叟
hlf  禦
hli  禹
hlk  秧
hll  簫
hlo  爪
hlq  筆
hlqz 律
hlvz 簍
hlw  笛
hly  徘
hm   行
hma  簪
hmb  師
hmbz 魎
hmc  兵
hmd  築
hmdz 竽
hmf  鳳
hmi  夙
hmj  竿
hmjz 秤
hmjz 筑
hml  斤
hmlz 邸
hmm  徑
hmmz 竺
hmn  衙
hmo  筮
hmr  后
hms  甥
hmu  卮
hmy  斥
hmz  征
hn   利
hnd  梨
hh   第
hni  凡
hnk  衡
hln  彿
hnm  篛
hnn  移
hno  欣
hnp  愆
hnq  掣
hnqz 犁
hnr  簷
hnt  艋
hnu  几
hnv  製
hob  籥
hoc  籲
hod  徐
hodz 篠
hoe  復
hoi  筏
hokz 篌
hol  御
hoo  簽
hop  稔
hoq  符
hor  答
hos  艙
hou  爬
hoz  從
hp   物
hpa  昏
hpaz 筍
hpaz 徇
hpe  黎
hph  秘
hpk  筷
hpl  印
hpm  氐
hpn  剩
hq   牛
hqa  籍
hqb  犒
hqc  積
hqcz 犢
hqd  牠
hqg  牡
hqj  拜
hqk  牧
hqm  牲
hqmz 牴
hqo  失
hqp  牝
hqq  特
hqr  牯
hqrz 犄
hqs  犧
hqt  箝
hqu  毛
hqw  籀
hr   和
hrf  烏
hrfz 鵠
hrg  程
hrj  阜
hrjz 簞
hrk  啟
hrn  刮
hrp  舔
hrpz 舐
hrq  籌
hs   戶
hsb  肩
hsbz 扁
hsc  貿
hsd  孵
hse  殷
hsf  篤
hsg  雇
hsgz 筐
hsh  穋
hsi  卵
hsk  戾
hsm  扇
hsp  怎
hsr  軀
hss  房
hst  籃
hstz 艦
hsu  扈
hsy  扉
hsz  乍
ht   升
htc  箕
htcz 簧
htcz 黌
hte  穫
htez 簸
htg  垂
htj  鼾
htl  卹
htm  甜
htn  箭
htnz 劓
htq  徉
htv  穠
hum  臼
huc  贊
hud  朵
hue  艘
huez 颼
huf  徽
hufz 黴
hug  徵
huk  微
huo  臾
hus  舅
hut  皚
huv  鼠
huz  秈
hv   很
hvb  胤
vz   後
hvf  系
hvi  魏
hvo  篆
hvp  氏
hvr  鼯
hvu  兜
hvv  鼴
hvw  鼬
hw   自
hwd  臬
hwdz 稞
hwe  稷
hwf  纂
hwg  籮
hwh  身
hwi  鬼
hwiz 篡
hwiz 篾
hwj  釋
hwk  臭
hwkz 囪
hwl  鄱
hwm  翻
hwn  衢
hwp  息
hwpz 憩
hwr  徊
hwrz 箇
hws  粵
hwt  算
hwtz 鼻
hwu  筧
hx   Ｈ
hxx  ｈ
hy   科
hyb  稿
hybz 篙
hybz 魑
hyg  往
hygz 籬
hyh  穢
hyi  舷
hyj  魁
hyk  徹
hykz 簇
hyn  航
hyp  籠
hyr  譽
hys  彷
hysz 徬
hysz 舫
hyt  笠
hyu  舢
hyv  簑
hz   從
hz   乏
hzb  歸
hzg  艇
hzj  篷
hzjz 聳
hzm  筵
hzp  慫
hzq  毽
hzz  徙
i    我
ia   良
iae  廄
ib   能
ibb  禍
ibl  鄘
ibm  祖
ibn  廁
ibr  凋
ic   廣
id   床
idd  麻
ide  求
idf  糜
idi  魔
idu  麾
idq  摩
idr  磨
idb  廂
idw  凍
idy  靡
ie   冰
iee  皴
iek  救
iev  裘
if   為
iff  鷓
ifk  廠
ifp  憑
ifpz 慼
ifz  蹙
ig   社
igb  膺
ige  凌
igf  鷹
igp  應
igq  廚
igqz 禱
igr  禧
ih   戊
ihi  戍
ihl  祈
ihm  底
ihmz 祗
ihp  祇
ihq  牟
ihs  祚
ihu  允
ii   麼
iib  朗
iih  參
iil  郎
iilz 廊
iir  冶
iit  盞
ij   戎
ijb  廟
ijbz 甫
ijc  朮
ijj  庫
ik   犬
ikr  祐
iku  尤
ikuz 庵
ikw  畚
il   神
ilb  庸
ilc  賡
ile  康
ill  州
iln  划
ilo  庚
ilr  唐
im   或
imc  貳
ime  廈
imk  祆
imn  冽
imp  惑
