pin d  ch rank
dau 6  餖 7021
de     爹 1467
de     嗲 5712
dei 2  哋 7134
dei 6  地 0020
dei 6  墬 5559
dec 6  笛 2339
dec 6  糴 5249
deg    釘 1840
deg    疔 6785
deg 3  掟 7135
deg 6  訂 1186
dui    堆 1102
dui 3  對 0033
dui 3  兌 2748
dui 3  碓 5958
dui 3  祋 7451
dui 6  隊 0258
dui 6  錞 5684
dui 6  鐓 5688
dui 6  憝 6352
dui 6  懟 6354
dun    噸 1111
dun    敦 2144
dun    諄 3406
dun    惇 5220
dun 6  頓 1162
dun 6  鈍 2695
dun 6  遁 3796
dun 6  囤 3842
dun 6  沌 4519
dun 6  盹 5159
dee    啲 7133
dik    的 0001
dik    嘀 3615
dik    嫡 3759
dik    玓 4600
dik    菂 5256
dik    蹢 5675
dik    鏑 6540
dik 6  敵 0701
dik 6  滴 1539
dik 6  滌 2007
dik 6  迪 2373
dik 6  狄 3082
dik 6  翟 3851
dik 6  覿 5501
dik 6  荻 6207
dim 2  點 0096
dim 3  店 1258
dim 3  惦 3883
dim 3  玷 4923
dim 3  踮 5099
dim 3  阽 5847
dim 3  坫 6090
dim 6  掂 3504
din    顛 2085
din    滇 2843
din    巔 3783
din    癲 4929
din 2  典 1116
din 2  碘 2361
din 3  墊 1955
din 6  電 0072
din 6  澱 1947
din 6  殿 2042
din 6  淀 2335
din 6  甸 2445
din 6  奠 2674
din 6  佃 2968
din 6  靛 4158
din 6  鈿 6530
din 6  癜 6796
dig    丁 1099
dig    盯 2324
dig    叮 2889
dig    酊 4745
dig    仃 5031
dig    玎 6163
dig    耵 6198
dig 2  頂 0693
dig 2  鼎 2348
dig 3  錠 1883
dig 3  碇 5959
dig 6  定 0057
dig 6  啶 6081
dip 6  疊 2053
dip 6  蝶 3174
dip 6  碟 3429
dip 6  褶 3468
dip 6  諜 3715
dip 6  喋 4638
dip 6  牒 4852
dip 6  堞 5557
dip 6  蹀 6238
dip 6  揲 6684
dip 6  鰈 7043
dit 3  跌 2338
dit 6  秩 1657
dit 6  迭 2404
dit 6  昳 5430
dit 6  帙 5728
dit 6  紩 6192
dit 6  耋 6859
dit 6  瓞 7137
diu    雕 1761
diu    丟 1951
diu    碉 3203
diu    凋 3656
diu    刁 3737
diu    叼 4231
diu    貂 4500
diu    鯛 5111
diu    彫 7139
diu    鵰 7140
diu 2  屌 5881
diu 3  吊 1558
diu 3  釣 2770
diu 3  弔 7138
diu 6  調 0256
diu 6  掉 0956
diu 6  窕 5473
dor    多 0056
dor 2  朵 1756
dor 2  躲 2168
dor 2  垛 3386
dor 2  剁 3409
dor 2  跺 3948
dor 2  嚲 5208
dor 2  鬌 7037
dor 2  哚 7142
dor 6  惰 3095
dor 6  墮 3230
dek 3  琢 3360
dek 3  涿 5320
dek 3  諑 6006
dek 3  斲 6689
deu    啄 4106
doi 6  代 0178
doi 6  待 0760
doi 6  袋 1437
doi 6  黛 4433
doi 6  岱 4515
doi 6  玳 5456
doi 6  迨 6016
doi 6  靆 7009
doi 6  紿 7452
doi 6  蝳 7453
doi 6  酨 7454
dok 6  踱 3363
dok 6  鐸 4072
dog    當 0094
dog    噹 2637
dog    襠 3571
dog    宕 5046
dog    璫 5946
dog    簹 6833
dog 2  黨 0185
dog 2  擋 1957
dog 3  檔 2031
dog 6  蕩 1290
dog 6  盪 4930
dog 6  碭 6438
dog 6  戙 7144
do     都 0078
do     刀 1065
do     忉 2711
do     氘 3000
do     叨 3584
do     魛 3840
do     闍 6544
do  2  倒 0696
do  2  島 1321
do  2  堵 2048
do  2  搗 2449
do  2  賭 2948
do  2  睹 3022
do  3  到 0027
do  3  妒 3781
do  3  蠹 3794
do  3  捯 4982
do  6  度 0070
do  6  道 0157
do  6  導 0276
do  6  稻 1274
do  6  渡 1462
do  6  杜 1514
do  6  盜 1823
do  6  悼 2421
