jyut  ,rank,ch
daan3 ,6255,鉭
daan3 ,7482,泹
daan6 ,0152,但
daan6 ,0772,彈
daan6 ,4298,憚
daan6 ,4713,撣
daap3 ,0867,答
daap3 ,1839,搭
daap3 ,3680,瘩
daap3 ,5814,褡
daap3 ,6605,嚃
daap6 ,1605,踏
daap6 ,4592,沓
daap6 ,4739,蹋
daat3 ,4056,撻
daat3 ,4691,靼
daat3 ,5308,怛
daat3 ,5966,笪
daat3 ,6095,妲
daat3 ,6749,炟
daat3 ,6968,躂
daat6 ,0328,達
daat6 ,2875,噠
dai1  ,0383,低
dai1  ,4988,氐
dai1  ,5976,羝
dai1  ,7131,胝
dai2  ,0498,底
dai2  ,1248,抵
dai2  ,3685,詆
dai2  ,4570,邸
dai2  ,4785,砥
dai2  ,5432,柢
dai2  ,5612,牴
dai3  ,0667,帝
dai3  ,2159,締
dai3  ,2467,蒂
dai3  ,3605,碲
dai3  ,4251,諦
dai3  ,6339,嵽
dai3  ,6925,螮
dai6  ,0155,第
dai6  ,1153,弟
dai6  ,1371,隸
dai6  ,1557,遞
dai6  ,1858,逮
dai6  ,3501,娣
dai6  ,3595,踶
dai6  ,4211,棣
dai6  ,5300,埭
dai6  ,5734,悌
dai6  ,6127,杕
dak1  ,0062,得
dak1  ,0502,德
dak6  ,0206,特
dak6  ,4939,螣
dam1  ,7145,揼
dan1  ,3124,墩
dan1  ,6813,礅
dan2  ,5375,躉
dan3  ,6359,撉
dan6  ,3724,炖
dan6  ,7146,潡
dan6  ,7147,燉
dang1 ,0959,燈
dang1 ,1293,登
dang1 ,2785,蹬
dang1 ,3970,簦
dang1 ,5689,鐙
dang2 ,0068,等
dang2 ,2761,戥
dang3 ,3017,凳
dang3 ,4491,磴
dang3 ,4706,嶝
dang3 ,6101,嶗
dang6 ,1581,鄧
