ch,rank,yyutping
烴,1831,ting,1
汀,3234,ting,1
町,5459,ting,2
聽,0493,ting,3
停,0744,ting,4
庭,1046,ting,4
廷,1367,ting,4
亭,1889,ting,4
婷,3104,ting,4
蜓,3714,ting,4
霆,4157,ting,4
葶,6895,ting,4
挺,1722,ting,5
頲,3515,ting,5
梃,5911,ting,5
鋌,6032,ting,5
珽,6164,ting,5
貼,1536,tip,3
帖,3321,tip,3
鐵,0495,tit,3
餮,7024,tit,3
铁,7448,tit,3
挑,1461,tiu,1
佻,5197,tiu,1
祧,6440,tiu,1
跳,0967,tiu,3
眺,3382,tiu,3
糶,4419,tiu,3
覜,7449,tiu,3
條,0162,tiu,4
髫,4076,tiu,4
苕,4128,tiu,4
迢,4154,tiu,4
鰷,5112,tiu,4
笤,5965,tiu,4
蜩,6918,tiu,4
拖,1349,to,1
唾,3274,to,3
舵,3024,to,4
鴕,3093,to,4
陀,3242,to,4
駝,3259,to,4
馱,3452,to,4
沱,4089,to,4
坨,4701,to,4
砣,5071,to,4
跎,5510,to,4
堶,6093,to,4
柁,6705,to,4
酡,6981,to,4
鼉,7069,to,4
鮀,7457,to,4
妥,1942,to,5
橢,2518,to,5
胎,2015,toi,1
台,0564,toi,4
抬,1534,toi,4
臺,3152,toi,4
苔,3375,toi,4
颱,3472,toi,4
檯,3936,toi,4
薹,4795,toi,4
駘,5526,toi,4
鮐,5531,toi,4
炱,5768,toi,4
邰,6020,toi,4
儓,6066,toi,4
跆,6962,toi,4
枱,7450,toi,4
殆,3380,toi,5
怠,3806,toi,5
托,1160,tok,3
拓,2214,tok,3
託,3349,tok,3
橐,5234,tok,3
侂,5539,tok,3
籜,6186,tok,3
乇,6291,tok,3
柝,6370,tok,3
飥,7020,tok,3
庹,7455,tok,3
湯,1300,tong,1
羰,5080,tong,1
鏜,5380,tong,1
躺,1977,tong,2
淌,3222,tong,2
蹚,4881,tong,2
儻,6067,tong,2
鎲,6539,tong,2
燙,2532,tong,3
趟,2806,tong,3
熨,3381,tong,3
堂,1024,tong,4
糖,1026,tong,4
唐,1191,tong,4
塘,1692,tong,4
膛,2745,tong,4
搪,2998,tong,4
棠,3309,tong,4
醣,4573,tong,4
溏,4848,tong,4
瑭,5156,tong,4
螳,6001,tong,4
螗,6486,tong,4
樘,6717,tong,4
滔,2666,tou,1
韜,4320,tou,1
縚,5252,tou,1
饕,6559,tou,1
土,0360,tou,2
討,0834,tou,2
禱,3699,tou,2
釷,4620,tou,2
套,0915,tou,3
吐,1801,tou,3
兔,2482,tou,3
菟,5805,tou,3
堍,6614,tou,3
圖,0218,tou,4
途,1003,tou,4
逃,1297,tou,4
徒,1341,tou,4
陶,1559,tou,4
塗,1653,tou,4
桃,1781,tou,4
萄,2023,tou,4
濤,2232,tou,4
掏,2288,tou,4
屠,2363,tou,4
淘,2582,tou,4
涂,3963,tou,4
荼,4015,tou,4
啕,5294,tou,4
匋,5404,tou,4
瘏,6790,tou,4
綯,6838,tou,4
肚,1909,tou,5
禿,3253,tuk,1
通,0181,tung,1
熥,6153,tung,1
統,0220,tung,2
筒,1227,tung,2
捅,1945,tung,2
桶,7460,tung,2
痛,1136,tung,3
疼,2388,tung,3
同,0041,tung,4
銅,1086,tung,4
童,1262,tung,4
桐,2416,tung,4
酮,2613,tung,4
彤,3322,tung,4
穜,3528,tung,4
潼,3641,tung,4
仝,4048,tung,4
瞳,4727,tung,4
僮,5398,tung,4
佟,5538,tung,4
曈,6698,tung,4
艟,6875,tung,4
茼,7461,tung,4
團,0422,tyun,4
屯,2645,tyun,4
臀,4012,tyun,4
豚,5822,tyun,4
魨,5857,tyun,4
摶,5896,tyun,4
糰,7458,tyun,4
斷,0396,tyun,5
脫,0814,tyut,3
Ｕ,7467,Ｕ
瓮,4363,ung,3
甕,7465,ung,3
Ｖ,7468,Ｖ
Ｗ,7487,Ｗ
娃,2091,waa,1
哇,2563,waa,1
嘩,2614,waa,1
蝸,3447,waa,1
洼,3565,waa,1
蛙,3648,waa,1
窪,3790,waa,1
喎,6309,waa,1
窊,6820,waa,1
譁,7470,waa,1
畫,0625,waa,2
剮,5125,waa,2
搲,7480,waa,2
華,0340,waa,4
樺,3032,waa,4
鏵,3206,waa,4
驊,5855,waa,4
华,7472,waa,4
踝,4316,waa,5
話,0350,waa,6
歪,1949,waai,1
懷,0996,waai,4
淮,2024,waai,4
槐,2877,waai,4
壞,0649,waai,6
或,0151,waak,6
劃,0444,waak,6
惑,2422,waak,6
砉,3681,waak,6
嫿,5879,waak,6
划,7469,waak,6
灣,1201,waan,1
彎,1361,waan,1
玩,1639,waan,2
綰,5641,waan,2
還,0093,waan,4
環,0677,waan,4
頑,1900,waan,4
寰,4110,waan,4
澴,5764,waan,4
闤,6270,waan,4
鍰,6994,waan,4
鬟,7039,waan,4
挽,2194,waan,5
輓,5268,waan,5
鯇,7479,waan,5
患,1729,waan,6
幻,1996,waan,6
宦,2565,waan,6
豢,4499,waan,6
橫,1019,waang,4
挖,1430,waat,3
滑,0991,waat,6
猾,3347,waat,6
威,0941,wai,1
萎,2390,wai,1
逶,3432,wai,1
倭,3975,wai,1
崴,5416,wai,1
葳,7475,wai,1
位,0194,wai,2
委,0405,wai,2
毀,1454,wai,2
卉,3491,wai,2
猥,3986,wai,2
諉,4466,wai,2
喟,4584,wai,2
骫,5283,wai,2
痿,6789,wai,2
燬,7474,wai,2
譭,7477,wai,2
喂,1814,wai,3
慰,1960,wai,3
畏,2243,wai,3
餵,2393,wai,3
尉,2683,wai,3
蔚,3183,wai,3
穢,3569,wai,3
翽,4792,wai,3
霨,5186,wai,3
罻,6853,wai,3
褽,7476,wai,3
為,0013,wai,4
維,0443,wai,4
圍,0545,wai,4
唯,1014,wai,4
遺,1125,wai,4
違,1384,wai,4
惟,2221,wai,4
桅,2970,wai,4
帷,3618,wai,4
濰,4303,wai,4
湋,4485,wai,4
幃,5568,wai,4
闈,5845,wai,4
潿,6740,wai,4
偉,0976,wai,5
緯,1834,wai,5
韋,2073,wai,5
諱,3331,wai,5
葦,3556,wai,5
瑋,4059,wai,5
煒,4781,wai,5
韙,5852,wai,5
暐,6697,wai,5
衛,0741,wai,6
謂,0832,wai,6
惠,1997,wai,6
慧,2185,wai,6
胃,2411,wai,6
憓,3231,wai,6
渭,3290,wai,6
蝟,4377,wai,6
蕙,4496,wai,6
恚,4770,wai,6
讆,6009,wai,6
溫,0359,wan,1
瘟,3643,wan,1
贇,6236,wan,1
氳,6728,wan,1
縕,6842,wan,1
薀,6904,wan,1
轀,6973,wan,1
穩,0779,wan,2
搵,7485,wan,2
醞,3166,wan,3
韞,4628,wan,3
慍,5309,wan,3
雲,0788,wan,4
勻,1242,wan,4
魂,2109,wan,4
渾,2113,wan,4
云,2345,wan,4
暈,2476,wan,4
耘,3771,wan,4
芸,4014,wan,4
紜,4277,wan,4
沄,4408,wan,4
餛,4693,wan,4
鄖,5272,wan,4
妘,6619,wan,4
昀,6692,wan,4
溳,6737,wan,4
琿,6776,wan,4
篔,6829,wan,4
鋆,6990,wan,4
澐,7486,wan,4
允,1490,wan,5
蘊,2612,wan,5
韻,2858,wan,5
尹,3333,wan,5
隕,4888,wan,5
殞,5755,wan,5
狁,6760,wan,5
運,0235,wan,6
混,0731,wan,6
鄆,2679,wan,6
諢,3973,wan,6
惲,5052,wan,6
圂,6606,wan,6
溷,6736,wan,6
宏,2083,wang,4
弘,3706,wang,4
泓,4662,wang,4
竑,6183,wang,4
閎,6267,wang,4
吰,6597,wang,4
翃,6856,wang,4
浤,7471,wang,4
屈,1803,wat,1
郁,2534,wat,1
鬱,3408,wat,1
黦,6289,wat,1
詘,6502,wat,1
燏,5770,wat,6
搰,6358,wat,6
矞,6435,wat,6
域,1025,wik,6
蜮,4797,wik,6
閾,5104,wik,6
榮,1200,wing,4
蠑,6930,wing,4
永,0978,wing,5
穎,2353,wing,6
泳,2663,wing,6
詠,3196,wing,6
鍋,1209,wo,1
窩,2003,wo,1
萵,4495,wo,1
堝,5719,wo,1
媧,7483,wo,1
和,0008,wo,4
禾,2721,wo,4
盉,6799,wo,4
禍,2064,wo,6
矱,6808,wok,3
獲,0827,wok,6
穫,3279,wok,6
鑊,4073,wok,6
瓠,6427,wok,6
蠖,6931,wok,6
汪,1965,wong,1
枉,2791,wong,2
王,0460,wong,4
黃,0513,wong,4
皇,0891,wong,4
簧,1604,wong,4
惶,2823,wong,4
煌,2835,wong,4
磺,3048,wong,4
凰,3210,wong,4
蝗,4150,wong,4
徨,4167,wong,4
隍,4688,wong,4
潢,4778,wong,4
璜,4993,wong,4
湟,5321,wong,4
蟥,5499,wong,4
遑,5677,wong,4
喤,5711,wong,4
篁,5787,wong,4
鰉,6043,wong,4
艎,6874,wong,4
鍠,6995,wong,4
餭,7022,wong,4
往,0423,wong,5
旺,1797,wong,6
污,1443,wu,1
烏,1587,wu,1
嗚,3249,wu,1
鎢,3539,wu,1
靰,5523,wu,1
汙,5600,wu,1
鄔,6025,wu,1
洿,6389,wu,1
滸,2318,wu,2
捂,3371,wu,2
塢,4236,wu,2
祜,4609,wu,2
湖,0770,wu,4
胡,1154,wu,4
弧,1442,wu,4
糊,1610,wu,4
鬍,1846,wu,4
壺,2284,wu,4
葫,2706,wu,4
狐,3401,wu,4
蝴,3532,wu,4
瑚,3627,wu,4
餬,5697,wu,4
猢,6766,wu,4
醐,6984,wu,4
鶘,7054,wu,4
護,0594,wu,6
互,0643,wu,6
戶,1061,wu,6
滬,2473,wu,6
芋,3329,wu,6
扈,4205,wu,6
冱,4962,wu,6
鄠,5378,wu,6
岵,6098,wu,6
怙,6347,wu,6
枑,7220,wu,6
煨,4007,wui,1
偎,4580,wui,1
隈,4689,wui,1
會,0035,wui,2
回,0254,wui,4
迴,2430,wui,4
洄,3765,wui,4
徊,3826,wui,4
茴,3919,wui,4
蛔,5260,wui,4
匯,1364,wui,6
彙,3456,wui,6
燴,4361,wui,6
滙,7484,wui,6
豌,2965,wun,1
剜,4901,wun,1
碗,1725,wun,2
腕,2632,wun,2
浣,5146,wun,2
睆,6802,wun,2
緩,1221,wun,4
援,1315,wun,4
垣,3635,wun,4
桓,4356,wun,4
瓛,6781,wun,4
萑,6892,wun,4
皖,2921,wun,5
換,0653,wun,6
喚,2283,wun,6
煥,2890,wun,6
瘓,3871,wun,6
奐,3999,wun,6
渙,4091,wun,6
活,0202,wut,6
Ｘ,7488,Ｘ
Ｙ,7526,Ｙ
也,0043,yaa,5
廿,3439,yaa,6
猰,6765,yaak,3
曳,3830,yai,6
拽,3980,yai,6
枻,5909,yai,6
勩,6071,yai,6
跩,7489,yai,6
音,0385,yam,1
陰,1098,yam,1
欽,2546,yam,1
喑,4639,yam,1
鑫,4686,yam,1
歆,4986,yam,1
愔,6110,yam,1
瘖,7521,yam,1
飲,1742,yam,2
蔭,2512,yam,3
吟,2372,yam,4
淫,2926,yam,4
壬,3979,yam,4
紝,4562,yam,4
妊,4645,yam,4
荏,5083,yam,4
霪,6550,yam,4
崟,6641,yam,4
簷,7427,yam,4
飪,2980,yam,5
衽,4538,yam,5
任,0251,yam,6
賃,4800,yam,6
恁,6106,yam,6
因,0109,yan,1
恩,1210,yan,1
欣,1888,yan,1
姻,1926,yan,1
殷,2301,yan,1
茵,3292,yan,1
甄,3389,yan,1
湮,4847,yan,1
訢,4876,yan,1
忻,4979,yan,1
慇,5571,yan,1
銦,5683,yan,1
堙,5720,yan,1
洇,5761,yan,1
昕,5901,yan,1
氤,6383,yan,1
闉,6546,yan,1
焮,6751,yan,1
禋,6815,yan,1
駰,7026,yan,1
絪,7307,yan,1
炘,7490,yan,1
隱,1500,yan,2
忍,1567,yan,2
荵,7125,yan,2
印,0752,yan,3
釁,3127,yan,3
舋,5796,yan,3
人,0009,yan,4
仁,1579,yan,4
寅,2945,yan,4
夤,4971,yan,4
引,0491,yan,5
蚓,3510,yan,5
癮,4275,yan,5
縯,6843,yan,5
韌,2147,yan,6
孕,2483,yan,6
刃,2616,yan,6
紉,3244,yan,6
憖,4053,yan,6
仞,4390,yan,6
垽,5041,yan,6
胤,5170,yan,6
軔,5514,yan,6
訒,6501,yan,6
泣,2853,yap,1
邑,3014,yap,1
浥,3567,yap,1
悒,3827,yap,1
揖,4265,yap,1
挹,4447,yap,1
熤,4597,yap,1
翕,5646,yap,1
唈,6307,yap,1
熠,7522,yap,1
入,0195,yap,6
一,0002,yat,1
壹,4970,yat,1
日,0120,yat,6
溢,2365,yat,6
逸,2474,yat,6
掖,4207,yat,6
佚,4547,yat,6
軼,4883,yat,6
鎰,5685,yat,6
佾,6055,yat,6
汨,7358,yat,6
優,0692,yau,1
休,1326,yau,1
憂,1893,yau,1
丘,2062,yau,1
幽,2213,yau,1
邱,3451,yau,1
蚯,3511,yau,1
咻,5203,yau,1
耰,5978,yau,1
庥,6343,yau,1
髹,7034,yau,1
鵂,7049,yau,1
鈾,2116,yau,2
黝,3898,yau,2
柚,5229,yau,2
糅,5788,yau,2
幼,1365,yau,3
由,0111,yau,4
油,0285,yau,4
游,0887,yau,4
尤,1378,yau,4
柔,1538,yau,4
遊,1851,yau,4
郵,1920,yau,4
揉,1946,yau,4
猶,2124,yau,4
悠,2183,yau,4
蕕,3126,yau,4
魷,3368,yau,4
蹂,4021,yau,4
疣,4274,yau,4
攸,4400,yau,4
繇,4612,yau,4
猷,4922,yau,4
鞣,5024,yau,4
斿,5579,yau,4
蚰,5997,yau,4
蝣,6484,yau,4
輶,6516,yau,4
鼬,7492,yau,4
有,0007,yau,5
友,0719,yau,5
誘,2114,yau,5
卣,3738,yau,5
酉,3924,yau,5
莠,4189,yau,5
羑,5351,yau,5
銪,5521,yau,5
牖,5611,yau,5
又,0147,yau,6
右,0618,yau,6
釉,2105,yau,6
佑,2839,yau,6
囿,5298,yau,6
宥,5563,yau,6
侑,6056,yau,6
狖,6761,yau,6
祐,7491,yau,6
爺,1122,ye,4
耶,2280,ye,4
椰,3458,ye,4
揶,4711,ye,4
玡,7495,ye,4
琊,7496,ye,4
野,1112,ye,5
冶,1869,ye,5
惹,2913,ye,5
喏,4905,ye,5
嘢,7494,ye,5
夜,0723,ye,6
偌,5293,ye,6
贏,2481,yeng,4
蕤,6480,yeoi,4
蕊,2746,yeoi,5
銳,1496,yeoi,6
裔,3703,yeoi,6
芮,5082,yeoi,6
睿,5334,yeoi,6
蚋,6216,yeoi,6
枘,7519,yeoi,6
潤,1028,yeon,6
閏,3689,yeon,6
依,0691,yi,1
醫,0793,yi,1
衣,0902,yi,1
伊,1000,yi,1
漪,3624,yi,1
噫,3930,yi,1
繄,4338,yi,1
黟,4545,yi,1
銥,4747,yi,1
猗,4854,yi,1
禕,4860,yi,1
咿,4964,yi,1
鷖,6575,yi,1
吚,7493,yi,1
椅,2300,yi,2
倚,2515,yi,2
綺,3494,yi,2
咦,4232,yi,2
齮,5195,yi,2
錡,6259,yi,2
偯,7501,yi,2
意,0167,yi,3
懿,3742,yi,3
薏,5493,yi,3
殪,6380,yi,3
饐,7025,yi,3
而,0052,yi,4
兒,0390,yi,4
移,0725,yi,4
宜,0911,yi,4
儀,1286,yi,4
疑,1372,yi,4
誼,1969,yi,4
夷,2505,yi,4
姨,2675,yi,4
飴,3435,yi,4
怡,3457,yi,4
沂,3483,yi,4
詒,3536,yi,4
迤,3596,yi,4
酏,3653,yi,4
皚,3769,yi,4
頤,3777,yi,4
貽,3922,yi,4
胰,4424,yi,4
傣,4506,yi,4
簃,4561,yi,4
訑,4875,yi,4
觺,5177,yi,4
貤,5266,yi,4
鮞,5287,yi,4
痍,5331,yi,4
荑,5486,yi,4
宧,5726,yi,4
臑,5795,yi,4
嶷,6341,yi,4
匜,6594,yi,4
椸,6713,yi,4
圯,7272,yi,4
迆,7397,yi,4
栘,7512,yi,4
以,0018,yi,5
已,0180,yi,5
議,0332,yi,5
爾,0506,yi,5
耳,1246,yi,5
擬,1755,yi,5
矣,2154,yi,5
洱,4777,yi,5
薿,4869,yi,5
邇,5101,yi,5
苡,5358,yi,5
鉺,6532,yi,5
二,0080,yi,6
義,0123,yi,6
易,0464,yi,6
異,0875,yi,6
廙,3213,yi,6
劓,3692,yi,6
肄,4094,yi,6
貳,5097,yi,6
珥,6773,yi,6
益,0690,yik,1
億,1250,yik,1
憶,1394,yik,1
抑,1861,yik,1
臆,3917,yik,1
鬩,6277,yik,1
液,0500,yik,6
亦,1093,yik,6
逆,1640,yik,6
役,1646,yik,6
譯,1668,yik,6
翼,1856,yik,6
疫,2046,yik,6
鷊,2344,yik,6
奕,2743,yik,6
翊,3392,yik,6
驛,3453,yik,6
弋,3863,yik,6
弈,3881,yik,6
腋,3891,yik,6
繹,3945,yik,6
翌,4310,yik,6
嶧,5886,yik,6
杙,5908,yik,6
蜴,6218,yik,6
鶂,6287,yik,6
懌,6353,yik,6
鷁,7057,yik,6
淹,2897,yim,1
奄,3455,yim,1
閹,3540,yim,1
懨,3959,yim,1
崦,5215,yim,1
掩,1741,yim,2
魘,6281,yim,2
厴,6302,yim,2
弇,6655,yim,2
黶,7506,yim,2
厭,2306,yim,3
俺,2319,yim,3
饜,6039,yim,3
嚴,0497,yim,4
鹽,0718,yim,4
炎,1661,yim,4
嫌,2431,yim,4
閻,3365,yim,4
髯,3490,yim,4
閆,5383,yim,4
蚺,6913,yim,4
染,0882,yim,5
冉,3544,yim,5
儼,4163,yim,5
剡,4230,yim,5
扊,4709,yim,5
琰,4925,yim,5
苒,5651,yim,5
驗,0394,yim,6
焰,1874,yim,6
艷,2157,yim,6
灩,4058,yim,6
焱,4488,yim,6
釅,5681,yim,6
燄,7503,yim,6
豔,7504,yim,6
煙,0870,yin,1
焉,2907,yin,1
嫣,3741,yin,1
胭,3852,yin,1
蔫,4219,yin,1
鄢,6027,yin,1
菸,6890,yin,1
嚥,7507,yin,1
演,0818,yin,2
衍,2533,yin,2
堰,3499,yin,2
鼴,4546,yin,2
郾,4571,yin,2
偃,4821,yin,2
毽,4917,yin,2
燕,1924,yin,3
宴,1929,yin,3
讌,7509,yin,3
醼,7510,yin,3
然,0114,yin,4
研,0370,yin,4
言,0565,yin,4
燃,0839,yin,4
弦,0860,yin,4
延,0946,yin,4
賢,1948,yin,4
筵,3700,yin,4
舷,3812,yin,4
涎,4409,yin,4
揅,4712,yin,4
妍,5042,yin,4
埏,6318,yin,4
鋋,6992,yin,4
絃,7508,yin,4
晛,4355,yin,5
兗,4900,yin,5
巘,6648,yin,5
現,0086,yin,6
彥,2687,yin,6
諺,3686,yin,6
唁,4080,yin,6
硯,4121,yin,6
莧,4311,yin,6
峴,4977,yin,6
讞,5506,yin,6
英,0531,ying,1
嬰,2464,ying,1
櫻,2672,ying,1
鷹,2729,ying,1
瑛,3493,ying,1
纓,4278,ying,1
膺,4340,ying,1
鸚,4957,ying,1
攖,5745,ying,1
蘡,5994,ying,1
瓔,6780,ying,1
影,0381,ying,2
映,0927,ying,2
癭,4366,ying,2
應,0105,ying,3
形,0126,ying,4
型,0458,ying,4
營,0526,ying,4
仍,0715,ying,4
刑,0724,ying,4
迎,1105,ying,4
凝,1211,ying,4
盈,1976,ying,4
扔,2566,ying,4
邢,2923,ying,4
熒,2971,ying,4
蠅,3063,ying,4
嬴,3843,ying,4
瑩,3847,ying,4
螢,3875,ying,4
縈,4248,ying,4
滎,4271,ying,4
瀛,4487,ying,4
楹,4844,ying,4
硎,5160,ying,4
嶸,5418,ying,4
塋,5558,ying,4
艿,6205,ying,4
瀅,6404,ying,4
瀠,7502,ying,4
認,0293,ying,6
媵,5560,ying,6
饁,3141,yip,3
腌,3683,yip,3
靨,6036,yip,3
醃,7505,yip,3
業,0098,yip,6
葉,0570,yip,6
頁,1519,yip,6
孽,3880,yip,6
燁,4118,yip,6
鄴,4947,yip,6
曄,6366,yip,6
叶,7511,yip,6
咽,2496,yit,3
謁,3246,yit,3
噎,4349,yit,3
熱,0270,yit,6
蘗,2321,yit,6
嚙,3305,yit,6
嵲,6642,yit,6
臬,6871,yit,6
腰,1387,yiu,1
邀,1887,yiu,1
妖,3200,yiu,1
吆,3341,yiu,1
喓,3377,yiu,1
夭,3520,yiu,1
祆,3770,yiu,1
垚,6315,yiu,1
繞,1329,yiu,2
擾,1552,yiu,2
窅,4531,yiu,2
窈,5472,yiu,2
要,0019,yiu,3
搖,1182,yiu,4
姚,1905,yiu,4
遙,2192,yiu,4
窯,2200,yiu,4
饒,2316,yiu,4
謠,2491,yiu,4
堯,2885,yiu,4
徭,3503,yiu,4
瑤,3810,yiu,4
洮,4918,yiu,4
鰩,5288,yiu,4
嬈,5725,yiu,4
嶢,5885,yiu,4
橈,6132,yiu,4
猺,6768,yiu,4
蟯,6926,yiu,4
軺,6970,yiu,4
舀,3853,yiu,5
耀,1972,yiu,6
燿,4850,yiu,6
鷂,4896,yiu,6
曜,7514,yiu,6
喲,2509,yo,1
唷,4583,yo,1
約,0416,yoek,3
躍,1460,yoek,3
若,0751,yoek,6
藥,0844,yoek,6
弱,0984,yoek,6
曰,2066,yoek,6
鑰,2817,yoek,6
籲,3023,yoek,6
虐,3077,yoek,6
瘧,4605,yoek,6
謔,5095,yoek,6
龠,5535,yoek,6
箬,5635,yoek,6
篛,7497,yoek,6
葯,7498,yoek,6
蒻,7499,yoek,6
央,0746,yoeng,1
秧,1599,yoeng,1
殃,3398,yoeng,1
鞅,4132,yoeng,1
泱,4558,yoeng,1
鴦,4954,yoeng,1
怏,4980,yoeng,3
陽,0642,yoeng,4
洋,0720,yoeng,4
揚,0904,yoeng,4
楊,0985,yoeng,4
羊,1689,yoeng,4
攘,3507,yoeng,4
佯,3954,yoeng,4
瘍,4181,yoeng,4
儴,5400,yoeng,4
煬,5452,yoeng,4
徉,5732,yoeng,4
蘘,5809,yoeng,4
暘,5906,yoeng,4
烊,6152,yoeng,4
颺,6274,yoeng,4
垟,6314,yoeng,4
瀼,6406,yoeng,4
穰,6443,yoeng,4
禳,6818,yoeng,4
蛘,6914,yoeng,4
勷,7418,yoeng,4
養,0463,yoeng,5
氧,0532,yoeng,5
壤,1034,yoeng,5
仰,1805,yoeng,5
嚷,2350,yoeng,5
癢,3161,yoeng,5
痒,3462,yoeng,5
樣,0131,yoeng,6
讓,0682,yoeng,6
釀,2137,yoeng,6
漾,3940,yoeng,6
恙,4649,yoeng,6
沃,2418,yuk,1
噢,2859,yuk,1
旭,3135,yuk,1
毓,3288,yuk,1
煜,4919,yuk,1
昱,5903,yuk,1
燠,6411,yuk,1
鋈,6533,yuk,1
彧,6658,yuk,1
薁,6907,yuk,1
育,0473,yuk,6
肉,0899,yuk,6
玉,0965,yuk,6
欲,1479,yuk,6
獄,1855,yuk,6
辱,2142,yuk,6
浴,2383,yuk,6
慾,3134,yuk,6
褥,3467,yuk,6
峪,3694,yuk,6
鈺,4318,yuk,6
鬻,4893,yuk,6
溽,5236,yuk,6
淯,5447,yuk,6
鵒,6286,yuk,6
蓐,6477,yuk,6
縟,6841,yuk,6
翁,2403,yung,1
雍,3001,yung,1
嗡,3634,yung,1
壅,5210,yung,1
雝,5384,yung,1
癰,5629,yung,1
邕,5679,yung,1
嗈,6083,yung,1
蕹,6212,yung,1
擁,1400,yung,2
湧,1859,yung,2
蛹,3153,yung,2
涌,3623,yung,2
踴,3858,yung,2
恿,4051,yung,2
甬,4061,yung,2
冗,4103,yung,2
臃,4249,yung,2
俑,4899,yung,2
蓊,6210,yung,2
滃,6397,yung,2
踊,7518,yung,2
容,0389,yung,4
溶,0560,yung,4
熔,1582,yung,4
融,1694,yung,4
絨,1750,yung,4
蓉,2281,yung,4
庸,2428,yung,4
鎔,2993,yung,4
戎,3044,yung,4
傭,3051,yung,4
茸,3254,yung,4
佣,3558,yung,4
榕,3564,yung,4
喁,5296,yung,4
顒,5387,yung,4
鄘,5520,yung,4
慵,5737,yung,4
鏞,6034,yung,4
墉,6319,yung,4
狨,6417,yung,4
瑢,6778,yung,4
勇,1276,yung,5
氄,5144,yung,5
用,0024,yung,6
於,0032,yyu,1
于,1048,yyu,1
淤,3069,yyu,1
迂,3257,yyu,1
紆,5003,yyu,1
竽,5073,yyu,1
邘,6519,yyu,1
瘀,4062,yyu,2
傴,5706,yyu,2
嫗,6627,yyu,2
酗,4155,yyu,3
如,0074,yyu,4
魚,0571,yyu,4
餘,0717,yyu,4
余,1427,yyu,4
漁,1473,yyu,4
輿,2158,yyu,4
儒,2262,yyu,4
愚,2387,yyu,4
愉,2506,yyu,4
嶼,2766,yyu,4
俞,3028,yyu,4
逾,3078,yyu,4
娛,3297,yyu,4
禺,3325,yyu,4
榆,3356,yyu,4
蠕,3534,yyu,4
虞,3630,yyu,4
渝,3868,yyu,4
隅,3895,yyu,4
瑜,4119,yyu,4
茹,4372,yyu,4
孺,4551,yyu,4
嵎,4647,yyu,4
盂,4669,yyu,4
銣,4748,yyu,4
揄,4771,yyu,4
諛,4878,yyu,4
腴,4936,yyu,4
歟,5143,yyu,4
濡,5149,yyu,4
畬,5460,yyu,4
臾,5484,yyu,4
嚅,5552,yyu,4
覦,5666,yyu,4
璵,5776,yyu,4
艅,5981,yyu,4
旟,6363,yyu,4
歈,6723,yyu,4
毹,6726,yyu,4
狳,6763,yyu,4
窬,6822,yyu,4
萸,6891,yyu,4
薷,6908,yyu,4
襦,6939,yyu,4
妤,7523,yyu,4
與,0133,yyu,5
語,0785,yyu,5
雨,0796,yyu,5
予,1088,yyu,5
乳,1576,yyu,5
宇,1757,yyu,5
羽,1898,yyu,5
汝,2692,yyu,5
禹,2922,yyu,5
庾,4442,yyu,5
俁,4819,yyu,5
圄,4968,yyu,5
圉,5299,yyu,5
瑀,5328,yyu,5
洳,5759,yyu,5
窳,5785,yyu,5
瘐,5951,yyu,5
籹,6449,yyu,5
貐,6955,yyu,5
齬,7072,yyu,5
預,0774,yyu,6
遇,1069,yyu,6
愈,1128,yyu,6
譽,1983,yyu,6
御,2002,yyu,6
裕,2033,yyu,6
豫,2399,yyu,6
諭,2400,yyu,6
寓,2578,yyu,6
喻,2735,yyu,6
禦,3224,yyu,6
馭,3951,yyu,6
澦,4144,yyu,6
瘉,7524,yyu,6
癒,7525,yyu,6
冤,2082,yyun,1
淵,2737,yyun,1
蜿,3773,yyun,1
鴛,4632,yyun,1
鵷,4955,yyun,1
蜎,5088,yyun,1
鳶,5290,yyun,1
院,0456,yyun,2
縣,0485,yyun,2
烷,0703,yyun,2
丸,2640,yyun,2
宛,3068,yyun,2
阮,3207,yyun,2
婉,3411,yyun,2
苑,3646,yyun,2
惋,3882,yyun,2
琬,5067,yyun,2
畹,6171,yyun,2
怨,2074,yyun,3
原,0146,yyun,4
員,0192,yyun,4
完,0336,yyun,4
元,0355,yyun,4
圓,0480,yyun,4
源,0590,yyun,4
沿,0988,yyun,4
園,1189,yyun,4
緣,1386,yyun,4
鉛,1475,yyun,4
懸,1626,yyun,4
袁,1918,yyun,4
玄,2063,yyun,4
圜,3422,yyun,4
猿,3766,yyun,4
沅,3938,yyun,4
媛,4165,yyun,4
芫,4371,yyun,4
紈,4420,yyun,4
炫,4455,yyun,4
轅,4501,yyun,4
爰,4523,yyun,4
黿,5114,yyun,4
垸,5409,yyun,4
洹,5444,yyun,4
刓,6068,yyun,4
湲,6733,yyun,4
螈,6922,yyun,4
遠,0546,yyun,5
軟,1275,yyun,5
鉉,5274,yyun,5
泫,6386,yyun,5
薳,7516,yyun,5
願,0805,yyun,6
眩,3888,yyun,6
掾,4657,yyun,6
瑗,6426,yyun,6
繯,6846,yyun,6
愿,7515,yyun,6
衒,7517,yyun,6
釔,4383,yyut,3
爇,6412,yyut,3
月,0169,yyut,6
越,0378,yyut,6
乙,0777,yyut,6
閱,1828,yyut,6
穴,2302,yyut,6
悅,2360,yyut,6
粵,2625,yyut,6
